factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
136,odometry,135,"odom(135,136)","[135, 136]","[-0.09006418860662424, 0.02427726136776727, 0.014097944429535492]",1.943211251483126,1.0
137,odometry,136,"odom(136,137)","[136, 137]","[-0.08831099929389308, 0.025311188826614053, 0.00798584623799492]",1.8160241539184854,1.0
138,odometry,137,"odom(137,138)","[137, 138]","[-0.08623871788450532, 0.026456771554454278, 0.00482555521728445]",1.7611978181594834,1.0
139,odometry,138,"odom(138,139)","[138, 139]","[-0.08806675327717228, 0.025449838311657834, -0.000325527331068276]",1.758676314264481,1.0
140,odometry,139,"odom(139,140)","[139, 140]","[-0.08987372838487295, 0.02439167001795704, -0.0057000042014618835]",1.8044755040390688,1.0
141,odometry,140,"odom(140,141)","[140, 141]","[-0.08885683630608643, 0.025814622025116835, -0.006142578077183103]",1.8084648736734559,1.0
142,odometry,141,"odom(141,142)","[141, 142]","[-0.09004285473047857, 0.02513144240632912, -0.011454530888034054]",1.897571453300187,1.0
143,odometry,142,"odom(142,143)","[142, 143]","[-0.09122136319554852, 0.02442433737140948, -0.016313463793795613]",2.0147504865324386,1.0
144,odometry,143,"odom(143,144)","[143, 144]","[-0.09244445915995192, 0.023658000616550198, -0.02118843829710082]",2.1604775785202963,1.0
145,odometry,144,"odom(144,145)","[144, 145]","[-0.1290446230867874, 0.018945035853518227, -0.0372994387727581]",3.176779911293017,1.0
146,odometry,145,"odom(145,146)","[145, 146]","[-0.21436397131600915, 0.04929315798737925, -0.09287897579097626]",6.618100207898641,1.0
147,odometry,146,"odom(146,147)","[146, 147]","[0.08603313699602488, -0.01760000199382783, 0.03029624689770971]",2.3521517261247644,1.0
148,odometry,147,"odom(147,148)","[147, 148]","[0.0762884798567039, -0.02213352319988761, 0.03292668878034277]",2.381186884208734,1.0
149,odometry,148,"odom(148,149)","[148, 149]","[0.07354761991535685, -0.02360593105548049, 0.03900344327394434]",2.6340739943574856,1.0
150,odometry,149,"odom(149,150)","[149, 150]","[0.04766092670516531, -0.010723128373518319, 0.025736320567390614]",1.6997386113039852,1.0
151,odometry,150,"odom(150,151)","[150, 151]","[0.015398950155248448, -0.0011038736218421975, 0.005167649426256027]",0.40225072015238283,1.0
152,odometry,151,"odom(151,152)","[151, 152]","[0.015325436985134, -0.0012603996514965019, 0.005482221810873877]",0.4143682729779961,1.0
153,odometry,152,"odom(152,153)","[152, 153]","[0.015404063705286908, -0.00109182438902896, 0.005797725511838436]",0.42797225666150185,1.0
154,odometry,153,"odom(153,154)","[153, 154]","[0.015382720773956415, -0.0011399853145002622, 0.005960904471078443]",0.43468710749066053,1.0
155,odometry,154,"odom(154,155)","[154, 155]","[0.0052442620589722155, -0.0006398454173803594, 0.00610529636496393]",0.3528045730607644,1.0
156,odometry,155,"odom(155,156)","[155, 156]","[-0.007040410621182547, 0.00711267630819884, -0.0054605416156015]",0.3869281213050833,1.0
157,odometry,156,"odom(156,157)","[156, 157]","[0.005100020833000762, 0.007379256872232759, -0.007153378451883796]",0.45933085930310996,1.0
158,odometry,157,"odom(157,158)","[157, 158]","[0.009377716849151396, 0.006655622293282601, -0.007905167409994363]",0.5080434947041118,1.0
159,odometry,158,"odom(158,159)","[158, 159]","[0.009820318172856557, 0.006550110956373371, -0.009451823392289782]",0.5853507969454336,1.0
160,odometry,159,"odom(159,160)","[159, 160]","[0.009468802928300324, 0.006634453570301228, -0.011090695550129759]",0.667241342604184,1.0
161,odometry,160,"odom(160,161)","[160, 161]","[0.04629055850186786, -0.000529052146362341, -0.011187180702775912]",1.046361351029562,1.0
162,odometry,161,"odom(161,162)","[161, 162]","[0.05203071944813731, 0.003698099695009803, -0.011933486187361009]",1.1600154882138465,1.0
163,odometry,162,"odom(162,163)","[162, 163]","[0.05191833312018679, 0.00394862170159814, -0.013028558243970423]",1.1948664341741266,1.0
164,odometry,163,"odom(163,164)","[163, 164]","[0.052192103728958994, -0.003304135484648696, -0.01071793412719435]",1.1242610347272792,1.0
165,odometry,164,"odom(164,165)","[164, 165]","[0.03141763772462136, -0.01719772905864651, -0.006954036417402332]",0.8467565995612535,1.0
166,odometry,165,"odom(165,166)","[165, 166]","[0.00635733943958372, 0.05544174776062567, 0.029306780233980145]",2.274524504260026,1.0
167,odometry,166,"odom(166,167)","[166, 167]","[0.014084046251561566, 0.055207665336120676, 0.023286363787276]",2.056032554923858,1.0
168,odometry,167,"odom(167,168)","[167, 168]","[0.016461100887427693, 0.05509972534309247, 0.01009326552173917]",1.6977493637113836,1.0
169,odometry,168,"odom(168,169)","[168, 169]","[0.014174584157327308, 0.05320355385687568, -0.0022818423049577596]",1.5469966133606263,1.0
170,odometry,169,"odom(169,170)","[169, 170]","[0.017744471662977657, 0.05302765327451733, -0.008421050218963]",1.6181512186487426,1.0
171,odometry,170,"odom(170,171)","[170, 171]","[-0.014954409169145477, 0.029782036555128365, -0.000763785034366915]",0.8943076250541231,1.0
172,odometry,171,"odom(171,172)","[171, 172]","[-0.013776816488280219, 0.029875044205824312, -0.008383833839049615]",1.0041268360299627,1.0
173,odometry,172,"odom(172,173)","[172, 173]","[-0.045929119465929924, 0.024035527708774262, -0.01090118192327516]",1.2392434649304986,1.0
174,odometry,173,"odom(173,174)","[173, 174]","[-0.06833186831827426, 0.012566930509670535, -0.012116804663340197]",1.4579475874338812,1.0
175,odometry,174,"odom(174,175)","[174, 175]","[-0.06938981659950061, 0.011577301513870836, -0.014774223580475088]",1.5410483080423978,1.0
176,odometry,175,"odom(175,176)","[175, 176]","[-0.03833494764454848, 0.003558618088348925, -0.01679489391942912]",1.1690710460063385,1.0
177,odometry,176,"odom(176,177)","[176, 177]","[0.0026888435618735163, 0.009154911193565204, -0.014012507966664867]",0.8226955801551533,1.0
178,odometry,177,"odom(177,178)","[177, 178]","[0.0029698713836943114, 0.009140662211141334, -0.016302029833819898]",0.9441166955078182,1.0
179,odometry,178,"odom(178,179)","[178, 179]","[0.0015242074779814319, 0.009198764757805743, -0.01780972969503125]",1.0241161651637984,1.0
180,odometry,179,"odom(179,180)","[179, 180]","[-0.009935431326399818, 0.008295198391549019, -0.017736487051839944]",1.029436310621104,1.0
